GR_Number,Date,PO_Number,Vendor_ID,Vendor_Name,Company_ID,Company_Name,Item_Code,Description,Quantity_Ordered,Quantity_Received,Delivery_Status,Notes
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,CH-002,Office Chair - Standard,4,4,Complete,
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,DK-002,Office Desk - Standard,3,3,Complete,
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,TV-002,Office TV - 43",2,2,Complete,
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,SF-001,Office Couch - 3-seater,1,1,Complete,
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,LM-002,Office Lamp - Desk,5,5,Complete,
GR-20250107-001,2025-01-07,PO-20250105-001,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C001,Smith Consulting,WD-001,Office Water Dispenser,1,1,Complete,
GR-20250117-002,2025-01-17,PO-20250107-002,V002,Tech Solutions Inc.,C001,Smith Consulting,PC-001,Desktop Computer,5,5,Complete,
GR-20250117-002,2025-01-17,PO-20250107-002,V002,Tech Solutions Inc.,C001,Smith Consulting,PR-001,Laser Printer - Color,2,2,Complete,
GR-20250117-002,2025-01-17,PO-20250107-002,V002,Tech Solutions Inc.,C001,Smith Consulting,LP-001,Laptop - Standard,3,3,Complete,
GR-20250117-002,2025-01-17,PO-20250107-002,V002,Tech Solutions Inc.,C001,Smith Consulting,CB-001,Network Cable - Cat6,20,20,Complete,
GR-20250118-003,2025-01-18,PO-20250110-003,V003,Furniture Depot,C002,Johnson Technologies,DK-001,Office Desk - Executive,2,2,Complete,
GR-20250118-003,2025-01-18,PO-20250110-003,V003,Furniture Depot,C002,Johnson Technologies,CH-001,Office Chair - Executive,2,2,Complete,
GR-20250118-003,2025-01-18,PO-20250110-003,V003,Furniture Depot,C002,Johnson Technologies,BK-001,Office Bookshelf,3,3,Complete,
GR-20250119-004,2025-01-19,PO-20250112-004,V004,Office Supplies Co.,C003,Williams Enterprises,PP-001,Copy Paper - A4,50,50,Complete,
GR-20250119-004,2025-01-19,PO-20250112-004,V004,Office Supplies Co.,C003,Williams Enterprises,PN-001,Whiteboard Pen Set,10,10,Complete,
GR-20250124-005,2025-01-24,PO-20250115-005,V005,Electronics Warehouse,C004,Taylor Industries,TV-001,Office TV - 55",5,5,Complete,
GR-20250124-005,2025-01-24,PO-20250115-005,V005,Electronics Warehouse,C004,Taylor Industries,PR-001,Laser Printer - Color,3,3,Complete,
GR-20250127-006A,2025-01-27,PO-20250118-006,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C005,Miller Associates,CH-002,Office Chair - Standard,10,6,Partial,Remaining chairs to be delivered later
GR-20250127-006A,2025-01-27,PO-20250118-006,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C005,Miller Associates,DK-002,Office Desk - Standard,8,8,Complete,
GR-20250127-006A,2025-01-27,PO-20250118-006,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C005,Miller Associates,LM-002,Office Lamp - Desk,15,15,Complete,
GR-20250129-006B,2025-01-29,PO-20250118-006,V001,WOODPECKER SCHOOL & OFFICE SUPPLIES,C005,Miller Associates,CH-002,Office Chair - Standard,4,4,Complete,Remaining chairs from GR-20250127-006A
GR-20250201-007,2025-02-01,PO-20250120-007,V002,Tech Solutions Inc.,C001,Smith Consulting,SW-001,Office Software License,25,25,Complete,Digital delivery via email
GR-20250204-008,2025-02-04,PO-20250125-008,V003,Furniture Depot,C003,Williams Enterprises,SF-002,Office Sofa - 2-seater,4,4,Complete,
GR-20250204-008,2025-02-04,PO-20250125-008,V003,Furniture Depot,C003,Williams Enterprises,LM-001,Office Lamp - Floor,6,6,Complete,
GR-20250207-009,2025-02-07,PO-20250128-009,V004,Office Supplies Co.,C004,Taylor Industries,PP-001,Copy Paper - A4,100,80,Partial,20 reams out of stock
GR-20250207-009,2025-02-07,PO-20250128-009,V004,Office Supplies Co.,C004,Taylor Industries,PN-001,Whiteboard Pen Set,25,25,Complete,
GR-20250209-009B,2025-02-09,PO-20250128-009,V004,Office Supplies Co.,C004,Taylor Industries,PP-001,Copy Paper - A4,20,20,Complete,Remaining paper from GR-20250207-009
GR-20250211-010,2025-02-11,PO-20250201-010,V005,Electronics Warehouse,C005,Miller Associates,LP-001,Laptop - Standard,5,5,Complete,
GR-20250211-010,2025-02-11,PO-20250201-010,V005,Electronics Warehouse,C005,Miller Associates,CB-001,Network Cable - Cat6,30,25,Partial,5 cables damaged during shipping
