Invoice_Number,Date,PO_Number,GR_Number,Vendor_ID,Vendor_Name,Company_ID,Company_Name,Item_Code,Description,Quantity,Unit_Price,Total,Discount_Percent,Discount_Amount,Sub_Total,Tax_Rate,Tax_Amount,Shipping,Total_Due,Currency,Due_Date,Payment_Terms
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,CH-002,Office Chair - Standard,4,75.00,300.00,3.00,9.00,291.00,17.50,50.93,500.00,841.93,USD,2025-01-17,Net 7
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,DK-002,Office Desk - Standard,3,200.00,600.00,3.00,18.00,582.00,17.50,101.85,0.00,683.85,USD,2025-01-17,Net 7
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,TV-002,Office TV - 43",2,500.00,1000.00,3.00,30.00,970.00,17.50,169.75,0.00,1139.75,USD,2025-01-17,Net 7
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,SF-001,Office Couch - 3-seater,1,750.00,750.00,3.00,22.50,727.50,17.50,127.31,0.00,854.81,USD,2025-01-17,Net 7
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,LM-002,Office Lamp - Desk,5,25.00,125.00,3.00,3.75,121.25,17.50,21.22,0.00,142.47,USD,2025-01-17,Net 7
INV-20250110-001,2025-01-10,PO-20250105-001,GR-20250107-001,V001,Your Office LLC,C001,Smith Consulting,WD-001,Office Water Dispenser,1,280.00,280.00,3.00,8.40,271.60,17.50,47.53,0.00,319.13,USD,2025-01-17,Net 7
INV-20250119-002,2025-01-19,PO-20250107-002,GR-20250117-002,V002,Tech Solutions Inc.,C001,Smith Consulting,PC-001,Desktop Computer,5,850.00,4250.00,5.00,212.50,4037.50,20.00,807.50,150.00,4995.00,USD,2025-02-18,Net 30
INV-20250119-002,2025-01-19,PO-20250107-002,GR-20250117-002,V002,Tech Solutions Inc.,C001,Smith Consulting,PR-001,Laser Printer - Color,2,450.00,900.00,5.00,45.00,855.00,20.00,171.00,0.00,1026.00,USD,2025-02-18,Net 30
INV-20250119-002,2025-01-19,PO-20250107-002,GR-20250117-002,V002,Tech Solutions Inc.,C001,Smith Consulting,LP-001,Laptop - Standard,3,950.00,2850.00,5.00,142.50,2707.50,20.00,541.50,0.00,3249.00,USD,2025-02-18,Net 30
INV-20250119-002,2025-01-19,PO-20250107-002,GR-20250117-002,V002,Tech Solutions Inc.,C001,Smith Consulting,CB-001,Network Cable - Cat6,20,15.00,300.00,5.00,15.00,285.00,20.00,57.00,0.00,342.00,USD,2025-02-18,Net 30
INV-20250120-003,2025-01-20,PO-20250110-003,GR-20250118-003,V003,Furniture Depot,C002,Johnson Technologies,DK-001,Office Desk - Executive,2,350.00,700.00,0.00,0.00,700.00,15.00,105.00,200.00,1005.00,USD,2025-02-19,Net 30
INV-20250120-003,2025-01-20,PO-20250110-003,GR-20250118-003,V003,Furniture Depot,C002,Johnson Technologies,CH-001,Office Chair - Executive,2,185.00,370.00,0.00,0.00,370.00,15.00,55.50,0.00,425.50,USD,2025-02-19,Net 30
INV-20250120-003,2025-01-20,PO-20250110-003,GR-20250118-003,V003,Furniture Depot,C002,Johnson Technologies,BK-001,Office Bookshelf,3,180.00,540.00,0.00,0.00,540.00,15.00,81.00,0.00,621.00,USD,2025-02-19,Net 30
INV-20250121-004,2025-01-21,,GR-20250119-004,V004,Office Supplies Co.,C003,Williams Enterprises,PP-001,Copy Paper - A4,50,4.50,225.00,0.00,0.00,225.00,20.00,45.00,75.00,345.00,USD,2025-02-04,Net 14
