original_invoice_id,extraction_status,error_message,extracted_number,extracted_po_number,extracted_amount,extracted_tax_amount,extracted_currency_code,extracted_date,extracted_due_date,extracted_payment_term_days,extracted_vendor,extracted_line_items
21214858,success,NA,CI0205714,21182,72.0,12.0,GBP,2025-02-05,NA,NA,Universal Components UK Ltd,"[{""description"": ""STGO CATEGORY 1/2/3 KIT WI"", ""quantity"": 4.0, ""unit_price"": 7.06, ""total"": 28.24}, {""description"": ""ADR PLATE HOLDER"", ""quantity"": 2.0, ""unit_price"": 15.88, ""total"": 31.76}]"
13899086,success,NA,126959,NA,1800.0,300.0,GBP,2018-02-21,NA,NA,ACTIVE BRAND CONCEPTS LTD,"[{""description"": ""TQX Valeting Kit ea"", ""quantity"": 500.0, ""unit_price"": 3.0, ""total"": 1500.0}]"
14136172,error,Could not download PDF from URL for 29082018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13713597,error,Could not download PDF from URL for 14122017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14840064,error,Could not download PDF from URL for 10012020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14458465,success,NA,LHR2416820,NA,53.4,8.9,GBP,2019-03-31,2019-04-30,30,DHL Express,"[{""description"": ""ECONOMY SELECT EU/DOC"", ""quantity"": 5.0, ""unit_price"": 7.4, ""total"": 37.0}]"
20886311,error,Could not download PDF from URL for 20022024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14082600,success,NA,9580397893,213814,255.22,42.54,GBP,2018-07-25,2018-08-31,NA,3M,"[{""description"": ""3950 SCOTCHCAL EDGE SEALER WICK CAN 8OZ/227G (6CANS/CASE)"", ""quantity"": 12.0, ""unit_price"": 17.7232, ""total"": 212.68}]"
14671199,error,Could not download PDF from URL for 31082019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15091491,success,NA,2257170979,PO-402199,504.9,84.15,GBP,2020-07-02,2020-09-30,NA,ROBERT BOSCH LTD.,"[{""description"": ""ESI[tronic] A (1 year) / Download"", ""quantity"": 1.0, ""unit_price"": 15.0, ""total"": 12.75}, {""description"": ""ESI[tronic] 2.0 SD (1 year) / Download"", ""quantity"": 1.0, ""unit_price"": 476.0, ""total"": 404.6}, {""description"": ""ESI[tronic] A (1 year) add. license / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}, {""description"": ""ESI[tronic] 2.0 SD (1year) add. license / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}, {""description"": ""ESI[tronic] A (1 year) add. license / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}, {""description"": ""ESI[tronic] 2.0 SD (1year) add. license / Download"", ""quantity"": 1.0, ""unit_price"": 1.0, ""total"": 0.85}]"
