"id","number","date","due_date","currency_code","gross_amount","vat_amount","net_amount","payment_term_days","name","value","name-2","display_name"
21214858,"CI0205714","2025-02-05","2025-05-05",0,"72.00","12.00","60.00",86,"UNIVERSAL COMPONENTS UK LTD","07022502A1","misc_ref","MiscRef"
13899086,"126959","2018-02-21","2018-04-30",0,"1800.00","300.00","1500.00",12,"ACTIVE BRAND CONCEPTS LIMITED (ABC)","1304180025","misc_ref","MiscRef"
14136172,"17390213","2018-08-28","2018-09-15",0,"87.53","14.59","72.94",16,"KLARIUS PRODUCTS LTD","29082018","misc_ref","MiscRef"
13713597,"17935432","2017-12-13","2018-02-28",0,"44.83","7.47","37.36",58,"FERRARIS PISTON SERVICES LTD","14122017","misc_ref","MiscRef"
14840064,"02746270","2020-01-09","2020-03-31",0,"25.56","4.26","21.30",81,"FERRARIS PISTON SERVICES LTD","10012020","misc_ref","MiscRef"
14458465,"LHR2416820","2019-03-31","2019-04-30",0,"53.40","8.90","44.50",27,"DHL INTERNATIONAL (UK) LIMITED","02041904CE","misc_ref","MiscRef"
20886311,"18503991","2024-02-19","2024-03-15",0,"758.33","126.39","631.94",24,"KLARIUS PRODUCTS LTD","20022024","misc_ref","MiscRef"
14082600,"9580397893","2018-07-25","2018-08-30",0,"255.22","42.54","212.68",281,"3M UNITED KINGDOM PLC (PAINT)","26071803EA","misc_ref","MiscRef"
14671199,"01365581","2019-08-30","2019-10-31",0,"73.51","12.25","61.26",60,"FERRARIS PISTON SERVICES LTD","31082019","misc_ref","MiscRef"
15091491,"2257170979","2020-07-02","2020-09-30",0,"504.90","84.15","420.75",79,"ROBERT BOSCH LIMITED","130720027D","misc_ref","MiscRef"
20285610,"8354","2022-03-14","2022-04-13",0,"180.00","30.00","150.00",30,"GUY WILLIAMS LAYTON LLP","1503220123","misc_ref","MiscRef"
21196536,"72155870","2025-01-14","2025-02-13",0,"285.60","47.60","238.00",45,"EE LIMITED (EQUIPMENT)","1601250146","misc_ref","MiscRef"
14624199,"17577822","2019-07-25","2019-08-15",0,"166.48","27.75","138.73",35,"KLARIUS PRODUCTS LTD","26072019","misc_ref","MiscRef"
13840583,"18721716","2018-03-07","2018-05-31",0,"79.46","13.24","66.22",83,"FERRARIS PISTON SERVICES LTD","08032018","misc_ref","MiscRef"
